Application mode,Course,Daytime/evening attendance	,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Tuition fees up to date,Gender,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP
7,9147,1,130.0,19,1,5,5,130.0,1,0,35,5,5,0,0.0,5,5,0,0.0,11.1,0.6,2.02
39,9085,1,130.0,37,37,6,6,110.0,1,0,25,6,13,3,11.666666666666666,6,14,2,11.333333333333334,11.1,0.6,2.02
1,9070,1,119.0,1,1,9,9,123.2,1,1,22,6,6,6,14.166666666666666,6,8,6,13.625,10.8,1.4,1.74
39,9238,1,133.1,37,37,9,4,103.5,1,1,42,6,0,0,0.0,6,0,0,0.0,15.5,2.8,-4.06
1,9500,1,142.0,37,38,9,9,137.3,1,0,22,7,7,6,13.9,7,7,6,13.9,7.6,2.6,0.32
44,9085,1,140.0,1,19,4,4,140.0,1,0,21,6,9,6,13.142857142857142,6,9,6,12.166666666666666,13.9,-0.3,0.79
17,9238,1,115.0,19,38,7,8,116.4,1,0,21,6,9,6,11.375,6,9,6,13.285714285714286,16.2,0.3,-0.92
17,9119,1,131.0,1,3,9,10,123.7,1,1,20,5,7,4,12.0,5,8,2,12.5,10.8,1.4,1.74
7,8014,0,140.0,37,12,9,4,140.0,0,0,26,5,9,0,0.0,5,10,0,0.0,9.4,-0.8,-3.12
1,9147,1,160.0,1,38,4,7,141.5,1,1,18,5,10,3,10.666666666666666,5,11,2,12.5,9.4,-0.8,-3.12
43,9773,1,122.0,1,1,4,5,126.9,1,0,21,6,8,6,11.714285714285714,6,7,6,12.0,7.6,2.6,0.32
18,9500,1,126.0,38,37,5,5,114.8,1,0,20,8,8,7,14.402857142857142,8,8,7,14.402857142857142,10.8,1.4,1.74
39,9238,1,160.0,38,1,9,3,124.0,1,1,28,8,15,7,11.0,6,17,1,10.0,10.8,1.4,1.74
43,9500,1,136.0,19,1,9,10,124.1,1,1,21,8,8,0,0.0,8,8,0,0.0,9.4,-0.8,-3.12
53,9085,1,150.0,1,1,9,4,150.0,1,1,22,7,11,5,12.166666666666666,8,14,5,14.8,8.9,1.4,3.51
17,9130,1,138.0,2,19,2,6,126.3,1,0,18,6,7,6,12.833333333333334,6,8,6,13.0,8.9,1.4,3.51
