DESCRIPCION,NOMBRE_FACULTAD,NOMBRE_PROGRAMA,JORNADA,MODALIDAD,NOMBRE_SEDE,TIPO_IDEN_EST,LUG_EXPEDICION,LUGAR_NACIMIENTO,FECHA_NACIMIENTO,SEXO,ESTRATO,NOMBRE_ESTADO
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,VILLAVICENCIO,VILLAVICENCIO,04/17/1997 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,SOGAMOSO,SOGAMOSO,12/17/1994 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,SOGAMOSO,SOGAMOSO,05/30/2000 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS,BIOLOGIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,PAMPLONA,12/04/1994 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,T,SIMIJACA,SIMIJACA,01/06/2000 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,DUITAMA,03/25/2000 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. D
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,CHIQUINQUIRÁ,CHIQUINQUIRÁ,07/10/1998 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS,FISICA,DIURNO,PRESENCIAL,TUNJA,C,MONGUÍ,MONGUÍ,11/01/2000 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS,MATEMATICAS,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,FUSAGASUGÁ,10/27/1999 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS,MATEMATICAS,DIURNO,PRESENCIAL,TUNJA,C,PAIPA,PAIPA,03/17/1991 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART. 80 LIT. D
PRIMER  SEMESTRE DE 2019,CIENCIAS,QUIMICA,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,SOGAMOSO,08/19/1997 12:00:00 AM,F,1,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS,QUIMICA,DIURNO,PRESENCIAL,TUNJA,C,TAME,TAME,07/05/1997 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS,QUIMICA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,NUEVO COLÓN,03/30/1993 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. D
PRIMER  SEMESTRE DE 2019,CIENCIAS,QUIMICA,DIURNO,PRESENCIAL,TUNJA,C,BOAVITA,BOAVITA,06/07/1993 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,PAIPA,BOGOTA D.E,02/23/1998 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,TRINIDAD,TRINIDAD,04/26/1999 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,PAIPA,BOGOTA D.E,04/08/1997 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,SOGAMOSO,SOGAMOSO,04/15/1999 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,CHITARAQUE,MONIQUIRÁ,10/02/2000 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,CHIQUINQUIRÁ,CHIQUINQUIRÁ,10/17/1995 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,DUITAMA,PAIPA,08/03/1994 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,02/14/1995 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MAESTRIA EN DESARROLLO RURAL,OTRO,PRESENCIAL,TUNJA,C,TURMEQUÉ,NUEVO COLÓN,02/18/1990 12:00:00 AM,M,,PERDIO CUPO A 052/2012  ART 15 LIT.B.
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MAESTRIA EN DESARROLLO RURAL,OTRO,PRESENCIAL,TUNJA,C,BOGOTÁ D.C.,BOGOTÁ D.C.,01/28/1992 12:00:00 AM,M,,PERDIO CUPO A 052/2012  ART 15 LIT.A.
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,07/30/1998 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,T,SOGAMOSO,BOGOTÁ D.C.,10/23/2000 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. D
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,C,RESTREPO,VILLAVICENCIO,05/24/1998 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,T,BOGOTÁ D.C.,BOGOTÁ D.C.,01/16/2001 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,12/15/1996 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. D
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,C,SOGAMOSO,SOGAMOSO,10/20/1995 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,03/31/1997 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,DOCTORADO EN LENGUAJE Y CULTURA,DIURNO,PRESENCIAL,TUNJA,C,BOGOTÁ D.C.,BOGOTÁ D.C.,11/28/1980 12:00:00 AM,M,,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,ESPECIALIZACION EN ARCHIVISTICA,OTRO,PRESENCIAL,TUNJA,C,BOGOTÁ D.C.,PAIPA,02/19/1966 12:00:00 AM,F,,PERDIO CUPO A 052/2012  ART 15 LIT.A.
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,ESPECIALIZACION EN GERENCIA EDUCACIONAL,OTRO,PRESENCIAL,TUNJA,C,TUNJA,BOGOTA D.E,09/28/1993 12:00:00 AM,M,,PERDIO CUPO A 052/2012  ART 15 LIT.A.
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,DIURNO,PRESENCIAL,TUNJA,C,OROCUÉ,OROCUÉ,01/06/1997 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,06/18/2000 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART.80 LIT. E
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,DIURNO,PRESENCIAL,TUNJA,C,BOGOTÁ D.C.,CHITARAQUE,01/28/1998 12:00:00 AM,M,4,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,02/18/1994 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,11/16/2000 12:00:00 AM,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,08/19/1995 12:00:00 AM,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DIURNO,PRESENCIAL,TUNJA,C,MOSQUERA,TUNJA,05/20/1998 12:00:00 AM,F,2,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,DIURNO,PRESENCIAL,TUNJA,C,VILLANUEVA,BOGOTA D.E,04/01/1999 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA EN ARTES PLASTICAS,DIURNO,PRESENCIAL,TUNJA,C,CALI,BOGOTA D.E,03/05/1993 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART. 80 LIT. A
PRIMER  SEMESTRE DE 2019,CIENCIAS DE LA EDUCACION,LICENCIATURA EN ARTES PLASTICAS,DIURNO,PRESENCIAL,TUNJA,C,TUNJA,TUNJA,01/09/1993 12:00:00 AM,M,2,PERDIO CUPO A130/98 ART.80 LIT. E
